"Date","Monthly average yield from British Government Securities, 10 year Nominal Par Yield              [a] [b] [c]             IUMAMNPY"
"31 May 25","4.6004"
"30 Apr 25","4.5762"
"31 Mar 25","4.6448"
"28 Feb 25","4.5063"
"31 Jan 25","4.6627"
"31 Dec 24","4.4345"
"30 Nov 24","4.4164"
"31 Oct 24","4.1993"
"30 Sep 24","3.9053"
"31 Aug 24","3.9444"
"31 Jul 24","4.1386"
"30 Jun 24","4.1644"
"31 May 24","4.2229"
"30 Apr 24","4.2172"
"31 Mar 24","4.033"
"29 Feb 24","4.123"
"31 Jan 24","3.9319"
"31 Dec 23","3.8622"
"30 Nov 23","4.2721"
"31 Oct 23","4.5695"
"30 Sep 23","4.4199"
"31 Aug 23","4.5298"
"31 Jul 23","4.4372"
"30 Jun 23","4.3659"
"31 May 23","3.9621"
"30 Apr 23","3.6503"
"31 Mar 23","3.5638"
"28 Feb 23","3.5553"
"31 Jan 23","3.5115"
"31 Dec 22","3.5015"
"30 Nov 22","3.4171"
"31 Oct 22","4.1096"
"30 Sep 22","3.5007"
"31 Aug 22","2.3278"
"31 Jul 22","2.1454"
"30 Jun 22","2.3824"
"31 May 22","1.9069"
"30 Apr 22","1.8362"
"31 Mar 22","1.5457"
"28 Feb 22","1.4891"
"31 Jan 22","1.2051"
"31 Dec 21","0.8375"
"30 Nov 21","0.9394"
"31 Oct 21","1.083"
"30 Sep 21","0.8023"
"31 Aug 21","0.644"
"31 Jul 21","0.6979"
"30 Jun 21","0.8549"
"31 May 21","0.9058"
"30 Apr 21","0.8515"
"31 Mar 21","0.8456"
"28 Feb 21","0.6222"
"31 Jan 21","0.3672"
"31 Dec 20","0.3224"
"30 Nov 20","0.3836"
"31 Oct 20","0.3058"
"30 Sep 20","0.273"
"31 Aug 20","0.2717"
"31 Jul 20","0.2094"
"30 Jun 20","0.278"
"31 May 20","0.2743"
"30 Apr 20","0.3577"
"31 Mar 20","0.4609"
"29 Feb 20","0.633"
"31 Jan 20","0.7235"
"31 Dec 19","0.8308"
"30 Nov 19","0.765"
"31 Oct 19","0.6373"
"30 Sep 19","0.5981"
"31 Aug 19","0.5776"
"31 Jul 19","0.8304"
"30 Jun 19","0.919"
"31 May 19","1.13"
"30 Apr 19","1.1906"
"31 Mar 19","1.19"
"28 Feb 19","1.239"
"31 Jan 19","1.3221"
"31 Dec 18","1.3125"
"30 Nov 18","1.4541"
"31 Oct 18","1.5462"
"30 Sep 18","1.5023"
"31 Aug 18","1.3991"
"31 Jul 18","1.3739"
"30 Jun 18","1.4229"
"31 May 18","1.5016"
"30 Apr 18","1.5108"
"31 Mar 18","1.508"
"28 Feb 18","1.6034"
"31 Jan 18","1.3931"
"31 Dec 17","1.2781"
"30 Nov 17","1.3299"
"31 Oct 17","1.3816"
"30 Sep 17","1.2436"
"31 Aug 17","1.1241"
"31 Jul 17","1.2713"
"30 Jun 17","1.0846"
"31 May 17","1.1175"
"30 Apr 17","1.0789"
"31 Mar 17","1.194"
"28 Feb 17","1.3058"
"31 Jan 17","1.4203"
"31 Dec 16","1.4336"
"30 Nov 16","1.3818"
"31 Oct 16","1.078"
"30 Sep 16","0.8243"
"31 Aug 16","0.7421"
"31 Jul 16","0.9569"
"30 Jun 16","1.3105"
"31 May 16","1.5366"
"30 Apr 16","1.5688"
"31 Mar 16","1.5434"
"29 Feb 16","1.5032"
"31 Jan 16","1.7833"
"31 Dec 15","1.9234"
"30 Nov 15","1.9779"
"31 Oct 15","1.846"
"30 Sep 15","1.8814"
"31 Aug 15","1.9799"
"31 Jul 15","2.1353"
"30 Jun 15","2.1696"
"31 May 15","2.0243"
"30 Apr 15","1.755"
"31 Mar 15","1.7941"
"28 Feb 15","1.7365"
"31 Jan 15","1.589"
"31 Dec 14","1.9287"
"30 Nov 14","2.1593"
"31 Oct 14","2.2469"
"30 Sep 14","2.4919"
"31 Aug 14","2.5347"
"31 Jul 14","2.7343"
"30 Jun 14","2.7842"
"31 May 14","2.6989"
"30 Apr 14","2.7417"
"31 Mar 14","2.7837"
"28 Feb 14","2.8147"
"31 Jan 14","2.91"
"31 Dec 13","2.9458"
"30 Nov 13","2.7598"
"31 Oct 13","2.6784"
"30 Sep 13","2.8443"
"31 Aug 13","2.7088"
"31 Jul 13","2.471"
"30 Jun 13","2.3063"
"31 May 13","1.9462"
"30 Apr 13","1.7824"
"31 Mar 13","1.9768"
"28 Feb 13","2.1781"
"31 Jan 13","2.0795"
"31 Dec 12","1.8467"
"30 Nov 12","1.7741"
"31 Oct 12","1.7721"
"30 Sep 12","1.7222"
"31 Aug 12","1.6735"
"31 Jul 12","1.6523"
"30 Jun 12","1.7698"
"31 May 12","1.9416"
"30 Apr 12","2.2117"
"31 Mar 12","2.323"
"29 Feb 12","2.2191"
"31 Jan 12","2.1104"
"31 Dec 11","2.1828"
"30 Nov 11","2.2917"
"31 Oct 11","2.529"
"30 Sep 11","2.504"
"31 Aug 11","2.7833"
"31 Jul 11","3.3137"
"30 Jun 11","3.4144"
"31 May 11","3.5053"
"30 Apr 11","3.7619"
"31 Mar 11","3.7386"
"28 Feb 11","3.8799"
"31 Jan 11","3.7273"
"31 Dec 10","3.6098"
"30 Nov 10","3.311"
"31 Oct 10","3.0685"
"30 Sep 10","3.1271"
"31 Aug 10","3.233"
"31 Jul 10","3.5087"
"30 Jun 10","3.6007"
"31 May 10","3.7772"
"30 Apr 10","4.1007"
"31 Mar 10","4.0915"
"28 Feb 10","4.0624"
"31 Jan 10","4.0025"
"31 Dec 09","3.8871"
"30 Nov 09","3.7592"
"31 Oct 09","3.5699"
"30 Sep 09","3.6566"
"31 Aug 09","3.7142"
"31 Jul 09","3.8238"
"30 Jun 09","3.7221"
"31 May 09","3.6206"
"30 Apr 09","3.4072"
"31 Mar 09","3.2497"
"28 Feb 09","3.6899"
"31 Jan 09","3.6699"
"31 Dec 08","3.6238"
"30 Nov 08","4.2571"
"31 Oct 08","4.5789"
"30 Sep 08","4.5701"
"31 Aug 08","4.7267"
"31 Jul 08","5.0494"
"30 Jun 08","5.2103"
"31 May 08","4.8683"
"30 Apr 08","4.6432"
"31 Mar 08","4.445"
"29 Feb 08","4.6234"
"31 Jan 08","4.4925"
"31 Dec 07","4.6937"
"30 Nov 07","4.7263"
"31 Oct 07","4.9576"
"30 Sep 07","4.9928"
"31 Aug 07","5.1499"
"31 Jul 07","5.4084"
"30 Jun 07","5.4321"
"31 May 07","5.1458"
"30 Apr 07","5.0439"
"31 Mar 07","4.8194"
"28 Feb 07","4.896"
"31 Jan 07","4.8694"
"31 Dec 06","4.6195"
"30 Nov 06","4.5452"
"31 Oct 06","4.6155"
"30 Sep 06","4.5522"
"31 Aug 06","4.6535"
"31 Jul 06","4.656"
"30 Jun 06","4.6645"
"31 May 06","4.6488"
"30 Apr 06","4.5177"
"31 Mar 06","4.3177"
"28 Feb 06","4.1543"
"31 Jan 06","4.0752"
"31 Dec 05","4.2186"
"30 Nov 05","4.3129"
"31 Oct 05","4.3482"
"30 Sep 05","4.2109"
"31 Aug 05","4.3249"
"31 Jul 05","4.3011"
"30 Jun 05","4.2847"
"31 May 05","4.4173"
"30 Apr 05","4.6218"
"31 Mar 05","4.796"
"28 Feb 05","4.5884"
"31 Jan 05","4.5419"
"31 Dec 04","4.5316"
"30 Nov 04","4.6903"
"31 Oct 04","4.7683"
"30 Sep 04","4.9109"
"31 Aug 04","5.0071"
"31 Jul 04","5.1083"
"30 Jun 04","5.2"
"31 May 04","5.1118"
"30 Apr 04","4.957"
"31 Mar 04","4.7088"
"29 Feb 04","4.8056"
"31 Jan 04","4.7875"
"31 Dec 03","4.896"
"30 Nov 03","5.065"
"31 Oct 03","4.9071"
"30 Sep 03","4.7132"
"31 Aug 03","4.604"
"31 Jul 03","4.4078"
"30 Jun 03","4.1127"
"31 May 03","4.2197"
"30 Apr 03","4.4663"
"31 Mar 03","4.3243"
"28 Feb 03","4.2131"
"31 Jan 03","4.3899"
"31 Dec 02","4.5644"
"30 Nov 02","4.6378"
"31 Oct 02","4.616"
"30 Sep 02","4.5006"
"31 Aug 02","4.746"
"31 Jul 02","5.0027"
"30 Jun 02","5.099"
"31 May 02","5.2689"
"30 Apr 02","5.2331"
"31 Mar 02","5.2202"
"28 Feb 02","4.9251"
"31 Jan 02","4.9171"
"31 Dec 01","4.8928"
"30 Nov 01","4.6271"
"31 Oct 01","4.8253"
"30 Sep 01","4.9876"
"31 Aug 01","4.9854"
"31 Jul 01","5.2037"
"30 Jun 01","5.1951"
"31 May 01","5.1153"
"30 Apr 01","4.9468"
"31 Mar 01","4.703"
"28 Feb 01","4.8248"
"31 Jan 01","4.8471"
"31 Dec 00","4.9118"
"30 Nov 00","5.0983"
"31 Oct 00","5.2179"
"30 Sep 00","5.3873"
"31 Aug 00","5.3312"
"31 Jul 00","5.2388"
"30 Jun 00","5.2097"
"31 May 00","5.4033"
"30 Apr 00","5.3213"
"31 Mar 00","5.3707"
"29 Feb 00","5.6347"
"31 Jan 00","5.8227"
"31 Dec 99","5.389"
"30 Nov 99","5.3145"
"31 Oct 99","5.8801"
"30 Sep 99","5.6909"
"31 Aug 99","5.4312"
"31 Jul 99","5.3721"
"30 Jun 99","5.1716"
"31 May 99","4.9068"
"30 Apr 99","4.592"
"31 Mar 99","4.6554"
"28 Feb 99","4.4319"
"31 Jan 99","4.2868"
"31 Dec 98","4.5175"
"30 Nov 98","4.9292"
"31 Oct 98","5.0114"
"30 Sep 98","5.151"
"31 Aug 98","5.5706"
"31 Jul 98","5.8319"
"30 Jun 98","5.7743"
"31 May 98","5.8648"
"30 Apr 98","5.8249"
"31 Mar 98","5.992"
"28 Feb 98","6.0461"
"31 Jan 98","6.0978"
"31 Dec 97","6.3739"
"30 Nov 97","6.624"
"31 Oct 97","6.5109"
"30 Sep 97","6.8216"
"31 Aug 97","7.0893"
"31 Jul 97","7.0577"
"30 Jun 97","7.1418"
"31 May 97","7.1681"
"30 Apr 97","7.638"
"31 Mar 97","7.4544"
"28 Feb 97","7.1962"
"31 Jan 97","7.5552"
"31 Dec 96","7.5716"
"30 Nov 96","7.5952"
"31 Oct 96","7.5413"
"30 Sep 96","7.8151"
"31 Aug 96","7.8219"
"31 Jul 96","7.9162"
"30 Jun 96","8.054"
"31 May 96","8.0871"
"30 Apr 96","8.0602"
"31 Mar 96","8.057"
"29 Feb 96","7.7618"
"31 Jan 96","7.4408"
"31 Dec 95","7.4926"
"30 Nov 95","7.7752"
"31 Oct 95","8.0967"
"30 Sep 95","7.9486"
"31 Aug 95","8.1169"
"31 Jul 95","8.2613"
"30 Jun 95","8.1097"
"31 May 95","8.1802"
"30 Apr 95","8.4378"
"31 Mar 95","8.5938"
"28 Feb 95","8.6557"
"31 Jan 95","8.7349"
"31 Dec 94","8.5814"
"30 Nov 94","8.6361"
"31 Oct 94","8.7797"
"30 Sep 94","8.8959"
"31 Aug 94","8.6524"
"31 Jul 94","8.533"
"30 Jun 94","8.7105"
"31 May 94","8.2825"
"30 Apr 94","7.8401"
"31 Mar 94","7.417"
"28 Feb 94","6.7572"
"31 Jan 94","6.3794"
"31 Dec 93","6.4253"